COUNTY_NAME,Make,Model,FuelTypeDescription,NbrOfVehicles
SAINT JOSEPH,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,1
SAINT JOSEPH,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,2
SHELBY,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,1
SHELBY,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
STEUBEN,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,1
STEUBEN,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
STEUBEN,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,2
SULLIVAN,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,2
TIPPECANOE,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,2
TIPPECANOE,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,2
TIPPECANOE,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
VANDERBURGH,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,3
VANDERBURGH,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,2
VIGO,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,2
VIGO,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
VIGO,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,1
VIGO,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
WABASH,HYUNDAI,IONIQ LIMITED,Electric,1
WARRICK,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,3
WARRICK,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
WAYNE,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
WELLS,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
WHITE,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
WHITLEY,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
